Product,Purchases,"Weight (g)","Average Delivery Time (Days)","Size (cm3)"
04c4a4b9c924494fcf82e0fba966f955,21,567,10,8112
04ca6bf4b3d9aa78046f0973efe2f4b1,4,750,12,5120
04caadc7ea07eadcaa8513b4f6ecd8ec,2,300,5,3380
04cb9679db724268544436f40166c3ed,2,15700,8,94192
04cfe2f4173f2acf181b3d2642a387d1,2,200,12,6864
04d70d184a7c12c93cecd9c0d8b5ad69,5,150,6,990
04d752c2cda8f0972a8ab10ac9abdf12,1,900,5,12500
04dc26a02c448f6f2b914f01c2902ebd,11,483,18,9384
04de91d60b1cc9be205fb4a63c87bece,1,100,9,528
04df667e73ca2fab4b9a97c86466b699,2,404,17,5236
04e4e5d3a78ebbd1a943769293829c68,1,900,7,1350
04e9efe8ce063de2e031eb806396f456,1,750,13,2160
04ea63ab87df726ebf45c0982dd90a1f,6,450,13,4140
04ea859686940874c6f624314a14070a,1,500,7,4000
04f6c1fd057cc96a63e1f9579ddb942b,1,100,7,2000
04f92f94955d380b722ed941f2e6e51c,1,3125,16,20520
04f982a576e5d149919df37e292fa79e,1,5800,15,142100
04f9876e5833ccf6df7934aaebd19faf,1,1400,17,2016
04f9ba792a88dcfa0a4ecadb4d0ad913,1,500,1,9486
04fa587378a8e74c3b0acc00efecc93e,1,14900,18,57152
04fd8d64a2539d188bef33bb288410bb,1,800,12,13500
05019bc35fc2ed878c0c0f55346b91c6,4,2550,6,4896
050245daefa14dcfc8048e9c6a586d2c,1,1623,9,18720
0504d5c0f9b71510b2b0bee952e380fa,2,16500,18,43848
050ab8e1f87a468de0eed97451da3efd,1,8450,16,33516
050d890ccc1c0874e166c9af9c6dd821,1,350,13,4488
05177c02b7f7e985fb4a90d1465f0fba,1,100,21,1872
0519a542f6238651af817ddc6fcbbcf4,2,400,6,3240
051b9ff13dd55c0a6655a15ff296f80d,1,3600,7,32798
051e6f6764c9b60143dffafd0c5d1a25,1,1373,6,13125
05216a143a65ab59fc48fb996e7c12d7,2,200,5,352
0521fe3eb04940304b489d0fb49a37dd,16,1450,13,9720
0522015abfd1094949180dee8dacbdf9,2,400,15,24000
052413504e5295cd66ec4ced0b310062,15,165,15,1920
0526bcd59b4bbb167f8a4e93d56c0a07,1,100,11,816
0527af46c46b7a345d2086ea304ae8d7,1,625,9,11475
052b8660ee8a9ee18815d9b276694a10,6,107,9,2856
052dd43729ce1a56b5e083888ad5916f,1,400,3,3567
0534940d69bf94dc61c0e722b4168235,1,2300,7,22500
053bc43c110771a8ade43dd4462c3fa0,1,18500,25,83752
053c1c7045cfb67d04d8c5a8dc9fc054,1,1650,16,8649
05431e0dd637e910dd67d7ad823e8437,2,10850,4,64960
0543393758e5da8203fc69c4e6707c75,1,650,14,11550
054515fd15bc1a2029f10de97ffa9120,55,150,7,5832
0547b998c6f8893fab4ba02d5636c10f,1,500,3,4096
054b1ab366729788a3717961085aec01,2,50,3,1989
054f9a8859dc532322504741c66d799f,1,600,13,6600
055019def765ce08da9fac0585e927c3,3,300,8,2856
05542c6ab7bce0a01a5f7210380e72b3,2,850,5,5120
0554df77f3ed2e36e06c60eb65dc357a,6,300,7,2873
055cf0b2191631209c21bde8d353c7f2,2,2600,19,6000
056063b2634974ef86ccb7da2d3d0dbf,7,1431,9,12600
056193fc88b3f131fae751356896b168,7,8950,15,48000
05649d71cdf7d7ec2bbd7a717179de0f,1,350,6,5625
05696da7eee323669666f62228d00f78,1,12900,7,81000
056b837251897cfc6f46d3643bad614f,1,1150,7,4216
056d012d264624accb7f73d31caee034,9,1750,27,4500
056d07eb7d9c446e3780a3a7f102190d,1,500,4,6000
056fc939c78534a5fb6a762ef17d912e,1,1300,9,12500
057041a5c3e1080ad700db092badca71,2,8950,15,48000
057229db0353dff9e12e298e8f6429b9,2,1900,11,352
0573b564a90d2d9f9c460eb963da8c33,1,23700,4,45747
0581c05e8e3c0d17ea0ef8904419ec00,1,1250,12,27000
05833dad7f04a1b2991641771bfe6d9f,2,600,9,4048
058453fe8a9473eceee27349de3b38ac,2,750,7,19200
058755c380722a806fc5440093c2c5bf,1,1947,17,25872
0587bd8ea43108a16104b1430c15b283,2,9950,8,58621
05890763390aff71105dd223c0b9b225,1,1250,4,8118
058b372f969b59e8c4a27e224243909c,7,5650,16,12000
058f0416fd2fad8fb4cd0443ade6a42b,1,950,14,3542
05928363cd16fb2d20ccad40992105aa,2,250,22,3328
059ca09d32720d9adce3ae12e181339d,10,426,10,5440
059d3cf4de5bc9099cdb4c10ee7e84d5,1,200,7,352
059dce566827cd3b3274f2b986d5c0db,1,3500,7,26600
059fb7d4b3383690a65610a1d6320e7e,2,100,9,640
05a360982be454c7e715c0fec4f67243,1,100,9,1056
05a4cea3c80d33b04145946e6c5e0fa9,1,850,14,2618
05a6b99c0460f22f5f8101493c0e3c0e,1,1300,12,16170
05a9ab81472f6bdcd910cb49b636c5b5,8,250,19,1584
05a9dadb8402b6b7ae3dd28f7da187b5,33,2950,14,8000
05ac001cdcd6e4a3cc1563efbc5a25fc,2,400,7,880
05ad2310de31ddb8bc7f976b6fe02db7,1,750,7,10800
05af73bb3143cbc5233c1cdff4a767b5,2,2700,10,13254
05b0567fb831a93123b9d6866b022490,1,3300,2,35836
05b0feccfab2debfdb5744e42bdb6f71,1,150,9,2646
05b1d0c869d183ecb8459207a33066f5,1,200,5,1936
05b4834511e1cdb34899d52589ac9271,1,850,7,816
